Produto;Preço;Pgto.;Nº Parcelas;Data;Cliente;E-mail;Estado;Regiao;DDD;Telefone
Produto A;R$ 500;Cartão de Credito;12;21-Mar-18;James Martins;james@hotmail.com;Paraná;Sul;41;992800000
Produto B;R$ 1.000;Cartão de Credito;12;21-Mar-18;Igor Martins;igor@gmail.com;Distrito Federal;Centro-Oeste;61;991200000
Produto B;R$ 1.000;Cartão de Credito;1;22-Mar-18;Romário Martins;romario@gmail.com;Pernambuco;Nordeste;81;983600000
Produto B;R$ 1.000;Cartão de Credito;4;22-Mar-18;Rony Martins;rony@gmail.com;Distrito Federal;Centro-Oeste;61;995700000
Produto A;R$ 500;Cartão de Credito;8;22-Mar-18;Kelwin Martins;kelwin@hotmail.com;São Paulo;Sudeste;11;971400000
Produto B;R$ 1.000;Cartão de Credito;12;22-Mar-18;Renatho Martins;renatho@hotmail.com;São Paulo;Sudeste;11;967900000
Produto B;R$ 1.000;Cartão de Credito;1;23-Mar-18;Weber Martins;weber@gmail.com;Minas Gerais;Sudeste;38;999600000
Produto B;R$ 1.000;Cartão de Credito;6;23-Mar-18;Ivone Martins;ivone@gmail.com;Distrito Federal;Centro-Oeste;61;992200000
Produto C;R$ 2.000;Cartão de Credito;1;23-Mar-18;Guilherme Martins;guilherme@gmail.com;Rio de Janeiro;Sudeste;22;999900000
Produto B;R$ 1.000;Cartão de Credito;1;23-Mar-18;Tauane Martins;tauane@hotmail.com;São Paulo;Sudeste;12;981500000
Produto C;R$ 2.000;Cartão de Credito;12;24-Mar-18;Erilene Martins;erilene@gmail.com;São Paulo;Sudeste;11;972100000
Produto B;R$ 1.000;Cartão de Credito;1;24-Mar-18;Vanderlei Martins;vanderlei@gmail.com;São Paulo;Sudeste;12;992100000
Produto C;R$ 2.000;Cartão de Credito;12;24-Mar-18;Averaldo Martins;averaldo@hotmail.com;São Paulo;Sudeste;11;953400000
Produto B;R$ 1.000;Cartão de Credito;5;24-Mar-18;Gilmor Martins;gilmor@gmail.com;São Paulo;Sudeste;11;954900000
Produto A;R$ 500;Cartão de Credito;12;24-Mar-18;Irene Martins;irene@hotmail.com;Paraná;Sul;41;996800000
Produto A;R$ 500;Cartão de Credito;12;24-Mar-18;Keli Martins;keli@gmail.com;Paraná;Sul;41;988300000
Produto C;R$ 2.000;Cartão de Credito;12;24-Mar-18;Mirna Martins;mirna@yahoo.com.br;Minas Gerais;Sudeste;31;994400000
Produto B;R$ 1.000;Cartão de Credito;4;25-Mar-18;Thalys Martins;thalys@hotmail.com;Rio de Janeiro;Sudeste;22;999100000
Produto A;R$ 500;Cartão de Credito;12;25-Mar-18;Imaculada Martins;imaculada@gmail.com;Paraná;Sul;41;995600000
Produto A;R$ 500;Cartão de Credito;12;25-Mar-18;Daiane Martins;daiane@yahoo.com.br;Santa Catarina;Sul;47;999800000
Produto A;R$ 500;Boleto Bancário;1;25-Mar-18;Illgner Martins;illgner@gmail.com;Rondônia;Norte;69;981100000
Produto C;R$ 2.000;Cartão de Credito;12;25-Mar-18;Alexia Martins;alexia@gmail.com;Distrito Federal;Centro-Oeste;61;999200000
Produto C;R$ 2.000;Cartão de Credito;1;25-Mar-18;Mario Martins;mario@gmail.com;São Paulo;Sudeste;15;998400000
Produto A;R$ 500;Cartão de Credito;12;25-Mar-18;Josuel Martins;josuel@hotmail.com;São Paulo;Sudeste;11;999900000
Produto C;R$ 2.000;Boleto Bancário;1;25-Mar-18;Agnaldo Martins;agnaldo@gmail.com;São Paulo;Sudeste;19;982600000
Produto A;R$ 500;Cartão de Credito;12;26-Mar-18;Cicero Martins;cicero@gmail.com;Minas Gerais;Sudeste;31;994200000
Produto A;R$ 500;Cartão de Credito;10;26-Mar-18;Amanda Martins;amanda@hotmail.com;Pernambuco;Nordeste;81;997200000
Produto A;R$ 500;Cartão de Credito;1;26-Mar-18;Wallace Martins;wallace@gmail.com;Goiás;Centro-Oeste;62;991700000
Produto A;R$ 500;Cartão de Credito;12;26-Mar-18;Jacione Martins;jacione@gmail.com;Rio de Janeiro;Sudeste;21;971200000
Produto A;R$ 500;Cartão de Credito;3;26-Mar-18;Thomás Martins;thomas@gmail.com;Rio de Janeiro;Sudeste;21;983000000
Produto B;R$ 1.000;Cartão de Credito;12;26-Mar-18;Leovergidio Martins;leovergidio@hotmail.com;Minas Gerais;Sudeste;31;975000000
Produto B;R$ 1.000;Cartão de Credito;1;26-Mar-18;Malungo Martins;malungo@gmail.com;Rio de Janeiro;Sudeste;21;982600000
Produto B;R$ 1.000;Cartão de Credito;1;27-Mar-18;Dennys Martins;dennys@gmail.com;Pernambuco;Nordeste;81;980300000
Produto A;R$ 500;Cartão de Credito;12;27-Mar-18;Maciel Martins;maciel@gmail.com;São Paulo;Sudeste;13;997900000
Produto A;R$ 500;Cartão de Credito;3;27-Mar-18;Thauane Martins;thauane@gmail.com;São Paulo;Sudeste;11;947500000
Produto A;R$ 500;Cartão de Credito;5;27-Mar-18;Ingred Martins;ingred@outlook.com;Pernambuco;Nordeste;81;992700000
Produto A;R$ 500;Cartão de Credito;1;28-Mar-18;Lorenzo Martins;lorenzo@gmail.com;Rio Grande do Sul;Sul;51;995100000
Produto B;R$ 1.000;Cartão de Credito;12;28-Mar-18;Roali Martins;roali@gmail.com;Santa Catarina;Sul;48;988000000
Produto A;R$ 500;Boleto Bancário;5;28-Mar-18;Clarissa Martins;clarissa@gmail.com;São Paulo;Sudeste;19;992600000
Produto A;R$ 500;Cartão de Credito;12;28-Mar-18;Marilede Martins;marilede@hotmail.com;Bahia;Nordeste;71;981500000
Produto A;R$ 500;Boleto Bancário;1;28-Mar-18;Priscila Martins;priscila@gmail.com;Rio de Janeiro;Sudeste;21;996400000
Produto B;R$ 1.000;Boleto Bancário;1;28-Mar-18;Neide Martins;neide@gmail.com;Rio de Janeiro;Sudeste;24;992700000
Produto B;R$ 1.000;Cartão de Credito;7;28-Mar-18;Nickolle Martins;nickolle@gmail.com;Paraná;Sul;41;997600000
Produto A;R$ 500;Cartão de Credito;10;29-Mar-18;Laila Martins;laila@hotmail.com;São Paulo;Sudeste;16;997200000
Produto A;R$ 500;Cartão de Credito;12;29-Mar-18;Joanata Martins;joanata@hotmail.com;Minas Gerais;Sudeste;34;998100000
Produto B;R$ 1.000;Cartão de Credito;1;29-Mar-18;Valeria Martins;valeria@gmail.com;Distrito Federal;Centro-Oeste;61;981800000
Produto B;R$ 1.000;Cartão de Credito;12;29-Mar-18;Renier Martins;renier@gmail.com;Distrito Federal;Centro-Oeste;61;986300000
Produto A;R$ 500;Cartão de Credito;1;30-Mar-18;Oarlis Martins;oarlis@gmail.com;Espírito Santo;Sudeste;27;998800000
Produto C;R$ 2.000;Cartão de Credito;10;30-Mar-18;Caio Martins;caio@gmail.com;Minas Gerais;Sudeste;38;998700000
Produto B;R$ 1.000;Cartão de Credito;1;30-Mar-18;Janes Martins;janes@gmail.com;Maranhão;Nordeste;98;981000000
Produto A;R$ 500;Cartão de Credito;12;30-Mar-18;Kassia Martins;kassia@hotmail.com;São Paulo;Sudeste;12;997200000
Produto A;R$ 500;Cartão de Credito;9;30-Mar-18;Ylanna Martins;ylanna@gmail.com;Rio de Janeiro;Sudeste;21;971500000
Produto C;R$ 2.000;Cartão de Credito;7;30-Mar-18;Fábia Martins;fabia@hotmail.com;São Paulo;Sudeste;16;981100000
Produto B;R$ 1.000;Boleto Bancário;1;30-Mar-18;Dienifer Martins;dienifer@gmail.com;Rio Grande do Sul;Sul;51;998500000
Produto B;R$ 1.000;Cartão de Credito;10;31-Mar-18;Talita Martins;talita@gmail.com;Rio de Janeiro;Sudeste;21;973600000
Produto A;R$ 500;Cartão de Credito;12;31-Mar-18;Renan Martins;renan@gmail.com;São Paulo;Sudeste;11;998100000
Produto B;R$ 1.000;Cartão de Credito;10;31-Mar-18;Josemir Martins;josemir@gmail.com;Pernambuco;Nordeste;87;991500000
Produto A;R$ 500;Boleto Bancário;1;31-Mar-18;Julie Martins;julie@gmail.com;Pernambuco;Nordeste;81;999100000
Produto C;R$ 2.000;Cartão de Credito;1;1-Apr-18;Wandersson Martins;wandersson@hotmail.com;Santa Catarina;Sul;49;999100000
Produto B;R$ 1.000;Cartão de Credito;3;1-Apr-18;Dwany Martins;dwany@gmail.com;Rio de Janeiro;Sudeste;21;997400000
Produto A;R$ 500;Cartão de Credito;1;1-Apr-18;Jenyffer Martins;jenyffer@hotmail.com;São Paulo;Sudeste;13;997300000
Produto B;R$ 1.000;Cartão de Credito;12;1-Apr-18;Marcus Martins;marcus@gmail.com;Minas Gerais;Sudeste;31;984800000
Produto B;R$ 1.000;Cartão de Credito;12;1-Apr-18;Raphaella Martins;raphaella@gmail.com;São Paulo;Sudeste;11;964800000
Produto C;R$ 2.000;Cartão de Credito;12;1-Apr-18;Desirre Martins;desirre@hotmail.com;São Paulo;Sudeste;11;954800000
Produto A;R$ 500;Cartão de Credito;12;1-Apr-18;Thaís Martins;thais@hotmail.com;São Paulo;Sudeste;11;952200000
Produto A;R$ 500;Cartão de Credito;5;1-Apr-18;Caroline Martins;caroline@gmail.com;São Paulo;Sudeste;11;968300000
Produto B;R$ 1.000;Cartão de Credito;10;2-Apr-18;Dario Martins;dario@gmail.com;São Paulo;Sudeste;11;957900000
Produto A;R$ 500;Boleto Bancário;12;2-Apr-18;Tayanan Martins;tayanan@hotmail.com;Rio de Janeiro;Sudeste;21;965800000
Produto B;R$ 1.000;Cartão de Credito;12;2-Apr-18;Roseni Martins;roseni@yahoo.com.br;Ceará;Nordeste;85;987800000
Produto C;R$ 2.000;Cartão de Credito;1;2-Apr-18;Jhonatan Martins;jhonatan@gmail.com;Santa Catarina;Sul;48;991600000
Produto C;R$ 2.000;Cartão de Credito;1;2-Apr-18;Seiji Martins;seiji@gmail.com;Rio de Janeiro;Sudeste;21;986500000
Produto A;R$ 500;Cartão de Credito;12;2-Apr-18;Marcele Martins;marcele@gmail.com;Bahia;Nordeste;77;988500000
Produto A;R$ 500;Cartão de Credito;10;2-Apr-18;Jamille Martins;jamille@gmail.com;Goiás;Centro-Oeste;62;981100000
Produto A;R$ 500;Cartão de Credito;12;2-Apr-18;Joaquim Martins;joaquim@gmail.com;Minas Gerais;Sudeste;34;998700000
Produto B;R$ 1.000;Cartão de Credito;1;2-Apr-18;Giancarlo Martins;giancarlo@gmail.com;Ceará;Nordeste;85;999400000
Produto B;R$ 1.000;Boleto Bancário;1;2-Apr-18;Marcos Martins;marcos@outlook.com;Pernambuco;Nordeste;81;998200000
Produto C;R$ 2.000;Cartão de Credito;12;2-Apr-18;Samara Martins;samara@gmail.com;Ceará;Nordeste;85;986400000
Produto B;R$ 1.000;Cartão de Credito;12;2-Apr-18;Thayssa Martins;thayssa@gmail.com;Rio de Janeiro;Sudeste;21;979600000
Produto B;R$ 1.000;Cartão de Credito;12;2-Apr-18;Ester Martins;ester@gmail.com;Distrito Federal;Centro-Oeste;61;996400000
Produto A;R$ 500;Cartão de Credito;10;2-Apr-18;Jansley Martins;jansley@hotmail.com;São Paulo;Sudeste;18;996000000
Produto C;R$ 2.000;Boleto Bancário;1;3-Apr-18;Tania Martins;tania@globo.com;Rio de Janeiro;Sudeste;21;998900000
Produto A;R$ 500;Cartão de Credito;12;3-Apr-18;Andiara Martins;andiara@gmail.com;Rio Grande do Sul;Sul;51;991600000
Produto C;R$ 2.000;Cartão de Credito;1;3-Apr-18;Gianna Martins;gianna@gmail.com;Minas Gerais;Sudeste;31;998000000
Produto B;R$ 1.000;Cartão de Credito;12;4-Apr-18;Donisete Martins;donisete@live.com;Piauí;Nordeste;86;994500000
Produto B;R$ 1.000;Cartão de Credito;12;4-Apr-18;Humberto Martins;humberto@uol.com.br;São Paulo;Sudeste;11;981000000
Produto A;R$ 500;Cartão de Credito;12;4-Apr-18;Cleberson Martins;cleberson@gmail.com;Goiás;Centro-Oeste;62;999800000
Produto A;R$ 500;Boleto Bancário;1;4-Apr-18;Nadia Martins;nadia@gmail.com;São Paulo;Sudeste;19;992100000
Produto B;R$ 1.000;Cartão de Credito;12;4-Apr-18;Hellenmarie Martins;hellenmarie@gmail.com;São Paulo;Sudeste;15;991600000
Produto A;R$ 500;Cartão de Credito;4;4-Apr-18;Danyella Martins;danyella@hotmail.com;São Paulo;Sudeste;11;950300000
Produto B;R$ 1.000;Cartão de Credito;4;4-Apr-18;Mailson Martins;mailson@gmail.com;Pernambuco;Nordeste;81;985700000
Produto A;R$ 500;Cartão de Credito;12;4-Apr-18;Simone Martins;simone@uol.com.br;São Paulo;Sudeste;11;995200000
Produto A;R$ 500;Cartão de Credito;6;4-Apr-18;Kleverson Martins;kleverson@hotmail.com;Mato Grosso;Centro-Oeste;65;999500000
Produto A;R$ 500;Boleto Bancário;12;4-Apr-18;Francielle Martins;francielle@gmail.com;Minas Gerais;Sudeste;31;984500000
Produto A;R$ 500;Cartão de Credito;12;4-Apr-18;Norilene Martins;norilene@hotmail.com;Rio de Janeiro;Sudeste;21;976500000
Produto B;R$ 1.000;Boleto Bancário;1;5-Apr-18;Crislaine Martins;crislaine@gmail.com;Maranhão;Nordeste;99;981400000
Produto A;R$ 500;Boleto Bancário;6;5-Apr-18;Regiane Martins;regiane@uol.com.br;Goiás;Centro-Oeste;64;999800000
Produto C;R$ 2.000;Cartão de Credito;12;5-Apr-18;Luize Martins;luize@gmail.com;Rio de Janeiro;Sudeste;24;992700000
Produto B;R$ 1.000;Cartão de Credito;12;5-Apr-18;Francivaldo Martins;francivaldo@hotmail.com;Maranhão;Nordeste;98;982700000
Produto B;R$ 1.000;Cartão de Credito;4;5-Apr-18;Nagyla Martins;nagyla@gmail.com;Goiás;Centro-Oeste;62;984600000
Produto C;R$ 2.000;Boleto Bancário;1;5-Apr-18;Fabrícia Martins;fabricia@gmail.com;Rio de Janeiro;Sudeste;21;968800000
Produto B;R$ 1.000;Cartão de Credito;12;5-Apr-18;Vicente Martins;vicente@gmail.com;Piauí;Nordeste;86;999000000
Produto B;R$ 1.000;Boleto Bancário;1;5-Apr-18;Tomáz Martins;tomaz@gmail.com;Ceará;Nordeste;88;994300000
Produto C;R$ 2.000;Cartão de Credito;1;5-Apr-18;Jade Martins;jade@gmail.com;Rio de Janeiro;Sudeste;21;984400000
Produto B;R$ 1.000;Cartão de Credito;1;6-Apr-18;Angela Martins;angela@uol.com.br;São Paulo;Sudeste;11;950500000
Produto B;R$ 1.000;Cartão de Credito;12;6-Apr-18;Myrla Martins;myrla@gmail.com;Minas Gerais;Sudeste;35;997600000
Produto A;R$ 500;Cartão de Credito;12;6-Apr-18;Walmir Martins;walmir@yahoo.com.br;São Paulo;Sudeste;11;957800000
Produto A;R$ 500;Cartão de Credito;12;6-Apr-18;Elaine Martins;elaine@yahoo.com.br;Minas Gerais;Sudeste;31;993300000
Produto A;R$ 500;Boleto Bancário;1;6-Apr-18;Denizio Martins;denizio@gmail.com;Distrito Federal;Centro-Oeste;61;986200000
Produto B;R$ 1.000;Cartão de Credito;1;6-Apr-18;Hiram Martins;hiram@yahoo.com.br;Maranhão;Nordeste;98;991500000
Produto A;R$ 500;Cartão de Credito;10;6-Apr-18;Isaque Martins;isaque@gmail.com;São Paulo;Sudeste;11;930000000
Produto A;R$ 500;Cartão de Credito;3;6-Apr-18;Ive Martins;ive@gmail.com;São Paulo;Sudeste;12;998800000
Produto C;R$ 2.000;Cartão de Credito;1;7-Apr-18;Brini Martins;brini@yahoo.com.br;Rio de Janeiro;Sudeste;21;969500000
Produto A;R$ 500;Boleto Bancário;1;7-Apr-18;Cleverton Martins;cleverton@gmail.com;Paraná;Sul;41;985200000
Produto A;R$ 500;Cartão de Credito;1;7-Apr-18;Hiuri Martins;hiuri@gmail.com;Espírito Santo;Sudeste;27;997200000
Produto B;R$ 1.000;Cartão de Credito;12;7-Apr-18;Juraci Martins;juraci@gmail.com;São Paulo;Sudeste;11;999900000
Produto A;R$ 500;Boleto Bancário;1;7-Apr-18;Mailson Martins;mailson@gmail.com;Pernambuco;Nordeste;81;985700000
Produto B;R$ 1.000;Cartão de Credito;1;7-Apr-18;Cláudio Martins;claudio@gmail.com;São Paulo;Sudeste;19;996600000
Produto C;R$ 2.000;Boleto Bancário;1;7-Apr-18;Marcelly Martins;marcelly@gmail.com;Rio de Janeiro;Sudeste;21;982200000
Produto A;R$ 500;Cartão de Credito;3;7-Apr-18;Andre Martins;andre@gmail.com;Rio Grande do Sul;Sul;55;996700000
Produto B;R$ 1.000;Cartão de Credito;2;8-Apr-18;Sangeorana Martins;sangeorana@yahoo.com.br;Minas Gerais;Sudeste;31;997200000
Produto C;R$ 2.000;Cartão de Credito;3;8-Apr-18;Ismile Martins;ismile@gmail.com;São Paulo;Sudeste;11;984300000
Produto B;R$ 1.000;Boleto Bancário;1;8-Apr-18;Gilson Martins;gilson@yahoo.com.br;Bahia;Nordeste;75;981100000
Produto C;R$ 2.000;Cartão de Credito;1;8-Apr-18;Gloria Martins;gloria@hotmail.com;Rio de Janeiro;Sudeste;21;994400000
Produto A;R$ 500;Cartão de Credito;4;8-Apr-18;Vinicius Martins;vinicius@gmail.com;Bahia;Nordeste;75;992200000
Produto A;R$ 500;Cartão de Credito;1;8-Apr-18;Cristovam Martins;cristovam@gmail.com;São Paulo;Sudeste;12;997900000
Produto C;R$ 2.000;Cartão de Credito;12;8-Apr-18;Elen Martins;elen@uol.com.br;Paraná;Sul;42;991300000
Produto C;R$ 2.000;Boleto Bancário;1;8-Apr-18;Stefani Martins;stefani@gmail.com;São Paulo;Sudeste;11;984000000
Produto B;R$ 1.000;Cartão de Credito;1;8-Apr-18;Alline Martins;alline@hotmail.com;Rio de Janeiro;Sudeste;21;986100000
Produto B;R$ 1.000;Boleto Bancário;1;8-Apr-18;Fabricio Martins;fabricio@gmail.com;Rio Grande do Sul;Sul;55;981300000
Produto C;R$ 2.000;Cartão de Credito;3;8-Apr-18;Maximino Martins;maximino@gmail.com;Rio de Janeiro;Sudeste;21;982900000
Produto A;R$ 500;Cartão de Credito;12;9-Apr-18;Fernando Martins;fernando@gmail.com;São Paulo;Sudeste;16;981900000
Produto C;R$ 2.000;Cartão de Credito;1;9-Apr-18;Nilton Martins;nilton@hotmail.com;São Paulo;Sudeste;11;982200000
Produto B;R$ 1.000;Cartão de Credito;1;9-Apr-18;Maria Martins;maria@gmail.com;Minas Gerais;Sudeste;31;975700000
Produto A;R$ 500;Cartão de Credito;1;9-Apr-18;Romulo Martins;romulo@gmail.com;Ceará;Nordeste;85;987200000
Produto B;R$ 1.000;Cartão de Credito;12;9-Apr-18;Antonio Martins;antonio@gmail.com;Maranhão;Nordeste;99;981400000
Produto A;R$ 500;Cartão de Credito;5;10-Apr-18;Valmir Martins;valmir@gmail.com;São Paulo;Sudeste;13;997500000
Produto B;R$ 1.000;Cartão de Credito;6;10-Apr-18;Ianna Martins;ianna@gmail.com;São Paulo;Sudeste;11;952500000
Produto A;R$ 500;Boleto Bancário;1;10-Apr-18;Denilson Martins;denilson@hotmail.com;Pará;Norte;91;993100000
Produto B;R$ 1.000;Cartão de Credito;12;10-Apr-18;Letícia Martins;leticia@gmail.com;Minas Gerais;Sudeste;34;991100000
Produto A;R$ 500;Cartão de Credito;12;10-Apr-18;Monica Martins;monica@gmail.com;São Paulo;Sudeste;11;983000000
Produto A;R$ 500;Cartão de Credito;12;10-Apr-18;Josemar Martins;josemar@gmail.com;Rio de Janeiro;Sudeste;24;988400000
Produto C;R$ 2.000;Cartão de Credito;2;10-Apr-18;Marcones Martins;marcones@gmail.com;Mato Grosso do Sul;Centro-Oeste;67;998500000
Produto B;R$ 1.000;Cartão de Credito;12;10-Apr-18;Nercilio Martins;nercilio@gmail.com;Mato Grosso do Sul;Centro-Oeste;67;998900000
Produto B;R$ 1.000;Cartão de Credito;1;11-Apr-18;Jaime Martins;jaime@outlook.com;São Paulo;Sudeste;11;945400000
Produto C;R$ 2.000;Cartão de Credito;1;11-Apr-18;Jane Martins;jane@gmail.com;Minas Gerais;Sudeste;31;996200000
Produto A;R$ 500;Cartão de Credito;12;11-Apr-18;Laureny Martins;laureny@gmail.com;Distrito Federal;Centro-Oeste;61;991300000
Produto C;R$ 2.000;Cartão de Credito;1;11-Apr-18;Julia Martins;julia@gmail.com;São Paulo;Sudeste;11;987100000
Produto A;R$ 500;Cartão de Credito;10;11-Apr-18;Rydan Martins;rydan@hotmail.com;Espírito Santo;Sudeste;27;998200000
Produto A;R$ 500;Cartão de Credito;12;12-Apr-18;Anneandra Martins;anneandra@hotmail.com;Espírito Santo;Sudeste;27;996000000
Produto A;R$ 500;Cartão de Credito;1;12-Apr-18;Ennio Martins;ennio@gmail.com;Ceará;Nordeste;85;997500000
Produto B;R$ 1.000;Boleto Bancário;1;12-Apr-18;Kamila Martins;kamila@gmail.com;Minas Gerais;Sudeste;31;999600000
Produto C;R$ 2.000;Cartão de Credito;12;12-Apr-18;Janaildo Martins;janaildo@yahoo.com.br;São Paulo;Sudeste;11;972800000
Produto B;R$ 1.000;Boleto Bancário;1;12-Apr-18;Wanise Martins;wanise@hotmail.com;Rio de Janeiro;Sudeste;21;999200000
Produto A;R$ 500;Cartão de Credito;12;12-Apr-18;Mardio Martins;mardio@gmail.com;Mato Grosso;Centro-Oeste;65;999100000
Produto B;R$ 1.000;Cartão de Credito;12;12-Apr-18;Edilene Martins;edilene@hotmail.com;Bahia;Nordeste;71;986300000
Produto A;R$ 500;Cartão de Credito;10;12-Apr-18;Ticiana Martins;ticiana@gmail.com;Bahia;Nordeste;71;999900000
Produto B;R$ 1.000;Cartão de Credito;10;12-Apr-18;Cainã Martins;caina@hotmail.com;Rio Grande do Sul;Sul;51;991000000
Produto C;R$ 2.000;Boleto Bancário;6;13-Apr-18;Moacyr Martins;moacyr@gmail.com;Minas Gerais;Sudeste;32;988900000
Produto C;R$ 2.000;Cartão de Credito;12;13-Apr-18;Fabíola Martins;fabiola@gmail.com;São Paulo;Sudeste;11;997700000
Produto B;R$ 1.000;Cartão de Credito;1;13-Apr-18;Leanderson Martins;leanderson@gmail.com;Rio de Janeiro;Sudeste;21;966300000
Produto A;R$ 500;Cartão de Credito;12;13-Apr-18;Franklin Martins;franklin@hotmail.com;São Paulo;Sudeste;11;993900000
Produto C;R$ 2.000;Boleto Bancário;1;13-Apr-18;Gabriel Martins;gabriel@gmail.com;Pernambuco;Nordeste;81;989200000
Produto A;R$ 500;Cartão de Credito;2;13-Apr-18;Fábio Martins;fabio@hotmail.com;São Paulo;Sudeste;11;981500000
Produto A;R$ 500;Cartão de Credito;12;13-Apr-18;Geison Martins;geison@hotmail.com;São Paulo;Sudeste;11;950800000
Produto C;R$ 2.000;Cartão de Credito;12;13-Apr-18;Riquelme Martins;riquelme@gmail.com;São Paulo;Sudeste;11;943700000
Produto B;R$ 1.000;Cartão de Credito;10;13-Apr-18;Jecyka Martins;jecyka@hotmail.com;Rio Grande do Sul;Sul;53;981200000
Produto A;R$ 500;Cartão de Credito;2;13-Apr-18;Hernani Martins;hernani@hotmail.com;Rio de Janeiro;Sudeste;21;990600000
Produto A;R$ 500;Cartão de Credito;12;13-Apr-18;Keitey Martins;keitey@gmail.com;Espírito Santo;Sudeste;27;998500000
Produto C;R$ 2.000;Cartão de Credito;12;13-Apr-18;Gladstone Martins;gladstone@hotmail.com;Rio de Janeiro;Sudeste;21;987600000
Produto C;R$ 2.000;Boleto Bancário;1;14-Apr-18;Mozart Martins;mozart@outlook.com;Santa Catarina;Sul;47;992800000
Produto A;R$ 500;Cartão de Credito;1;14-Apr-18;Taciano Martins;taciano@hotmail.com;Pernambuco;Nordeste;81;993100000
Produto B;R$ 1.000;Cartão de Credito;1;14-Apr-18;Ronaldo Martins;ronaldo@outlook.com;Espírito Santo;Sudeste;27;999500000
Produto B;R$ 1.000;Cartão de Credito;12;14-Apr-18;Tais Martins;tais@gmail.com;São Paulo;Sudeste;11;981800000
Produto A;R$ 500;Boleto Bancário;1;15-Apr-18;Paulo Martins;paulo@gmail.com;São Paulo;Sudeste;18;981100000
Produto B;R$ 1.000;Cartão de Credito;6;15-Apr-18;Selton Martins;selton@gmail.com;Amazonas;Norte;92;984200000
Produto B;R$ 1.000;Cartão de Credito;1;15-Apr-18;Helhana Martins;helhana@gmail.com;São Paulo;Sudeste;11;945900000
Produto B;R$ 1.000;Boleto Bancário;1;16-Apr-18;Davi Martins;davi@yahoo.com.br;Minas Gerais;Sudeste;34;991000000
Produto A;R$ 500;Cartão de Credito;1;16-Apr-18;Micke Martins;micke@gmail.com;Paraná;Sul;41;996000000
Produto C;R$ 2.000;Cartão de Credito;12;16-Apr-18;Vandilson Martins;vandilson@hotmail.com;Bahia;Nordeste;71;981600000
Produto B;R$ 1.000;Cartão de Credito;10;16-Apr-18;Jefther Martins;jefther@gmail.com;Mato Grosso do Sul;Centro-Oeste;67;996700000
Produto C;R$ 2.000;Cartão de Credito;12;17-Apr-18;Aleandro Martins;aleandro@gmail.com;São Paulo;Sudeste;17;996300000
Produto A;R$ 500;Cartão de Credito;12;17-Apr-18;Diego Martins;diego@hotmail.com;Rio de Janeiro;Sudeste;22;999600000
Produto B;R$ 1.000;Cartão de Credito;1;17-Apr-18;Ian Martins;ian@gmail.com;São Paulo;Sudeste;11;942500000
Produto A;R$ 500;Cartão de Credito;4;17-Apr-18;Wederson Martins;wederson@gmail.com;Rio de Janeiro;Sudeste;22;999400000
Produto C;R$ 2.000;Cartão de Credito;12;18-Apr-18;Rayra Martins;rayra@outlook.com;Pernambuco;Nordeste;81;998200000
Produto C;R$ 2.000;Cartão de Credito;10;18-Apr-18;Noe Martins;noe@gmail.com;Mato Grosso;Centro-Oeste;65;992100000
Produto B;R$ 1.000;Cartão de Credito;12;18-Apr-18;Attila Martins;attila@gmail.com;Ceará;Nordeste;85;986300000
Produto A;R$ 500;Cartão de Credito;1;18-Apr-18;Leonel Martins;leonel@gmail.com;Rio de Janeiro;Sudeste;21;976700000
Produto C;R$ 2.000;Cartão de Credito;12;19-Apr-18;Adnilson Martins;adnilson@gmail.com;Minas Gerais;Sudeste;31;992800000
Produto A;R$ 500;Cartão de Credito;12;19-Apr-18;Vanessa Martins;vanessa@hotmail.com;Minas Gerais;Sudeste;32;991400000
Produto C;R$ 2.000;Cartão de Credito;6;19-Apr-18;Cezar Martins;cezar@yahoo.com.br;São Paulo;Sudeste;11;974800000
Produto C;R$ 2.000;Cartão de Credito;6;19-Apr-18;Elivan Martins;elivan@gmail.com;Bahia;Nordeste;71;996500000
Produto C;R$ 2.000;Boleto Bancário;1;19-Apr-18;Pollianna Martins;pollianna@hotmail.com;São Paulo;Sudeste;11;968700000
Produto B;R$ 1.000;Cartão de Credito;12;19-Apr-18;Marysol Martins;marysol@hotmail.com;Rio de Janeiro;Sudeste;21;979800000
Produto B;R$ 1.000;Cartão de Credito;1;20-Apr-18;Rayane Martins;rayane@gmail.com;Rio de Janeiro;Sudeste;21;999500000
Produto C;R$ 2.000;Cartão de Credito;10;20-Apr-18;Stefany Martins;stefany@gmail.com;Pará;Norte;91;984300000
Produto A;R$ 500;Cartão de Credito;12;20-Apr-18;Amaro Martins;amaro@outlook.com;Bahia;Nordeste;75;992400000
Produto A;R$ 500;Cartão de Credito;6;20-Apr-18;Dieison Martins;dieison@gmail.com;São Paulo;Sudeste;11;949200000
Produto B;R$ 1.000;Boleto Bancário;1;20-Apr-18;Hideo Martins;hideo@globo.com;São Paulo;Sudeste;11;984700000
Produto C;R$ 2.000;Cartão de Credito;4;21-Apr-18;Hipólito Martins;hipolito@outlook.com;Sergipe;Nordeste;79;999200000
Produto A;R$ 500;Cartão de Credito;12;21-Apr-18;Jayme Martins;jayme@hotmail.com;São Paulo;Sudeste;11;977200000
